country,code,year,grnGasEm100K,pop10M
Brazil,BRA,1970,12.6098,9.5982
Canada,CAN,1970,4.9497,2.1324
China,CHN,1970,18.7397,81.8315
Germany,DEU,1970,12.8657,7.8169
France,FRA,1970,6.1450,5.2035
United Kingdom,GBR,1970,8.3959,5.5663
India,IND,1970,7.4650,55.3943
Japan,JPN,1970,9.4113,10.4345
Mexico,MEX,1970,2.1055,5.2030
United States,USA,1970,54.0050,20.5052
Brazil,BRA,1971,9.6855,9.8402
Canada,CAN,1971,5.1243,2.1646
China,CHN,1971,19.1433,84.1105
Germany,DEU,1971,12.8378,7.8313
France,FRA,1971,6.2991,5.2480
United Kingdom,GBR,1971,8.3741,5.5896
India,IND,1971,7.5402,56.6605
Japan,JPN,1971,9.6048,10.5697
Mexico,MEX,1971,2.1529,5.3720
United States,USA,1971,54.4042,20.7661
Brazil,BRA,1972,11.3819,10.0844
Canada,CAN,1972,4.9732,2.1994
China,CHN,1972,19.9969,86.2030
Germany,DEU,1972,13.0078,7.8688
France,FRA,1972,6.5036,5.2959
United Kingdom,GBR,1972,8.2215,5.6086
India,IND,1972,7.6724,57.9801
Japan,JPN,1972,10.0913,10.7188
Mexico,MEX,1972,2.2945,5.5480
United States,USA,1972,57.0430,20.9896
Brazil,BRA,1973,10.2287,10.3321
Canada,CAN,1973,5.2046,2.2369
China,CHN,1973,20.5749,88.1940
Germany,DEU,1973,13.6468,7.8937
France,FRA,1973,6.9109,5.3441
United Kingdom,GBR,1973,8.6334,5.6195
India,IND,1973,7.7357,59.3452
Japan,JPN,1973,11.2713,10.8079
Mexico,MEX,1973,2.4167,5.7283
United States,USA,1973,59.1297,21.1909
Brazil,BRA,1974,10.9849,10.5846
Canada,CAN,1974,5.3840,2.2774
China,CHN,1974,20.7385,90.0350
Germany,DEU,1974,13.3603,7.8967
France,FRA,1974,6.7490,5.3882
United Kingdom,GBR,1974,8.2352,5.6230
India,IND,1974,7.9689,60.7447
Japan,JPN,1974,11.2407,11.0162
Mexico,MEX,1974,2.6640,5.9090
United States,USA,1974,57.5686,21.3854
Brazil,BRA,1975,12.1461,10.8431
Canada,CAN,1975,5.2989,2.3209
China,CHN,1975,22.6442,91.6395
Germany,DEU,1975,12.7361,7.8674
France,FRA,1975,6.3488,5.4253
United Kingdom,GBR,1975,8.0942,5.6226
India,IND,1975,8.2730,62.1704
Japan,JPN,1975,10.6771,11.1940
Mexico,MEX,1975,2.8029,6.0872
United States,USA,1975,55.3926,21.5973
Brazil,BRA,1976,13.8486,11.1076
Canada,CAN,1976,5.8094,2.3518
China,CHN,1976,23.2779,93.0685
Germany,DEU,1976,13.3650,7.8337
France,FRA,1976,6.7937,5.4541
United Kingdom,GBR,1976,8.2466,5.6212
India,IND,1976,8.5260,63.6183
Japan,JPN,1976,11.0191,11.2771
Mexico,MEX,1976,2.9217,6.2620
United States,USA,1976,58.6846,21.8035
Brazil,BRA,1977,11.7304,11.3776
Canada,CAN,1977,5.7465,2.3796
China,CHN,1977,25.1615,94.3455
Germany,DEU,1977,13.1570,7.8160
France,FRA,1977,6.6744,5.4764
United Kingdom,GBR,1977,8.3352,5.6193
India,IND,1977,8.7168,65.0908
Japan,JPN,1977,11.3326,11.3863
Mexico,MEX,1977,3.0466,6.4338
United States,USA,1977,60.4823,22.0239
Brazil,BRA,1978,13.4336,11.6532
Canada,CAN,1978,5.5014,2.4036
China,CHN,1978,27.2640,95.6165
Germany,DEU,1978,13.5727,7.8092
France,FRA,1978,6.8757,5.4948
United Kingdom,GBR,1978,8.3054,5.6197
India,IND,1978,8.7517,66.5936
Japan,JPN,1978,11.3105,11.4898
Mexico,MEX,1978,3.3268,6.6026
United States,USA,1978,60.5446,22.2585
Brazil,BRA,1979,14.1503,11.9341
Canada,CAN,1979,6.5657,2.4277
China,CHN,1979,27.7380,96.9005
Germany,DEU,1979,14.1170,7.8126
France,FRA,1979,6.9743,5.5131
United Kingdom,GBR,1979,8.7695,5.6247
India,IND,1979,9.0545,68.1359
Japan,JPN,1979,11.5921,11.5870
Mexico,MEX,1979,3.6201,6.7689
United States,USA,1979,61.3546,22.5055
Brazil,BRA,1980,14.9956,12.2200
Canada,CAN,1980,7.1194,2.4593
China,CHN,1980,27.5743,98.1235
Germany,DEU,1980,13.5478,7.8289
France,FRA,1980,6.7516,5.5341
United Kingdom,GBR,1980,8.0658,5.6314
India,IND,1980,9.2941,69.7230
Japan,JPN,1980,11.3609,11.6782
Mexico,MEX,1980,3.8714,6.9331
United States,USA,1980,58.9608,22.7225
Brazil,BRA,1981,13.9208,12.5107
Canada,CAN,1981,6.9942,2.4900
China,CHN,1981,27.2431,99.3885
Germany,DEU,1981,13.1779,7.8408
France,FRA,1981,6.2153,5.5586
United Kingdom,GBR,1981,7.8939,5.6334
India,IND,1981,9.7974,71.3561
Japan,JPN,1981,11.0558,11.7648
Mexico,MEX,1981,4.0709,7.0951
United States,USA,1981,58.3025,22.9466
Brazil,BRA,1982,14.4581,12.8055
Canada,CAN,1982,5.7643,2.5202
