,             height,weight,age,male
0,0                 151.765,47.8256065,63.0,1
1,1                   139.7,36.4858065,63.0,0
2,2                  136.525,31.864838,65.0,0
3,3                 156.845,53.0419145,41.0,1
4,4                  145.415,41.276872,51.0,0
5,5                   163.83,62.992589,35.0,1
6,6                 149.225,38.2434755,32.0,0
7,7                  168.91,55.4799715,27.0,1
8,8                  147.955,34.869885,19.0,0
9,9                    165.1,54.487739,54.0,1
10,10                  154.305,49.89512,47.0,0
11,11                  151.13,41.220173,66.0,1
12,12                 144.78,36.0322145,73.0,0
13,13                        149.9,47.7,20.0,0
14,14               150.495,33.849303,65.3,0
15,15                163.195,48.5626935,36.0,1
16,16                 157.48,42.3258035,44.0,1
17,17               143.9418,38.3568735,31.0,0
18,18                  121.92,19.617854,12.0,1
19,19                   105.41,13.947954,8.0,0
20,20                  86.36,10.489315,6.5,0
21,21                  161.29,48.987936,39.0,1
22,22                 156.21,42.7226965,29.0,0
23,23                  129.54,23.586784,13.0,1
24,24                   109.22,15.989118,7.0,0
25,25                   146.4,35.493574,56.0,1
26,26                 148.59,37.9032815,45.0,0
27,27                 147.32,35.4652245,19.0,0
28,28                  137.16,27.328918,17.0,1
29,29                    125.73,22.6796,16.0,0
30,30                   114.3,17.860185,11.0,1
31,31                 147.955,40.312989,29.0,1
32,32                 161.925,55.111428,30.0,1
33,33                 146.05,37.5063885,24.0,0
34,34                  146.05,38.498621,35.0,0
35,35                152.7048,46.606578,33.0,0
36,36                 142.875,38.838815,27.0,0
37,37                142.875,35.5786225,32.0,0
38,38                 147.955,47.400364,36.0,0
39,39                160.655,47.8823055,24.0,1
40,40                151.765,49.4131785,30.0,1
41,41                162.8648,49.384829,24.0,1
42,42                 171.45,56.5572525,52.0,1
43,43                   147.32,39.12231,42.0,0
44,44                  147.955,49.89512,19.0,0
45,45                  144.78,28.803092,17.0,0
46,46                    121.92,20.41164,8.0,1
47,47                 128.905,23.359988,12.0,0
48,48                    97.79,13.267566,5.0,0
49,49                154.305,41.2485225,55.0,1
50,50                   143.51,38.55532,43.0,0
51,51                        146.7,42.4,20.0,1
52,52                 157.48,44.6504625,18.0,1
53,53                    127,22.0105518,13.0,1
54,54                   110.49,15.422128,9.0,0
55,55                    97.79,12.757275,5.0,0
56,56                165.735,58.5984165,42.0,1
57,57                   152.4,46.719976,44.0,0
58,58                  141.605,44.22522,60.0,0
59,59                        158.8,50.9,20.0,0
60,60                 155.575,54.317642,37.0,0
61,61                164.465,45.8978405,50.0,1
62,62                 151.765,48.024053,50.0,0
63,63                  161.29,52.219779,31.0,1
64,64                  154.305,47.62716,25.0,0
65,65                 145.415,45.642695,23.0,0
66,66                 145.415,42.410852,52.0,0
67,67                152.4,36.4858065,79.3,1
68,68                 163.83,55.9335635,35.0,1
69,69                 144.145,37.194544,27.0,0
70,70                  129.54,24.550667,13.0,1
71,71                  129.54,25.627948,14.0,0
72,72                  153.67,48.307548,38.0,1
73,73                142.875,37.3362915,39.0,0
74,74                  146.05,29.596878,12.0,0
75,75                 167.005,47.173568,30.0,1
76,76                158.4198,47.286966,24.0,0
77,77    91.44,12.927372,0.599999999999909,1
78,78                 165.735,57.549485,51.0,1
79,79                  149.86,37.931631,46.0,0
80,80                 147.955,41.900561,17.0,0
81,81                137.795,27.5840635,12.0,0
82,82                 154.94,47.2019175,22.0,0
83,83                160.9598,43.204638,29.0,1
84,84                161.925,50.2636635,38.0,1
85,85                147.955,39.3774555,30.0,0
86,86                  113.665,17.463292,6.0,1
87,87                    159.385,50.689,45.0,1
88,88                 148.59,39.4341545,47.0,0
89,89                  136.525,36.28736,79.0,0
90,90                 158.115,46.266384,45.0,1
