year,yrMonth,serMonth,discharge
1916,1,1,63.69
1916,2,2,81
1916,3,3,125.42
1916,4,4,272.29
1916,5,5,427.68
1916,6,6,462.79
1916,7,7,289.89
1916,8,8,179.65
1916,9,9,130.75
1916,10,10,144.91
1916,11,11,116.07
1916,12,12,96.1
1917,1,13,75.65
1917,2,14,78.38
1917,3,15,81.09
1917,4,16,149.13
1917,5,17,524.72
1917,6,18,737.75
1917,7,19,523.31
1917,8,20,177.76
1917,9,21,131.85
1917,10,22,120.89
1917,11,23,123.37
1917,12,24,119.3
1918,1,25,99.7
1918,2,26,84.57
1918,3,27,107.41
1918,4,28,178.24
1918,5,29,314.8
1918,6,30,877.36
1918,7,31,267.46
1918,8,32,198.37
1918,9,33,133.51
1918,10,34,110.04
1918,11,35,115.17
1918,12,36,91.75
1919,1,37,75.35
1919,2,38,80.95
1919,3,39,98.57
1919,4,40,192.22
1919,5,41,224.3
1919,6,42,153.8
1919,7,43,77.72
1919,8,44,12.34
1919,9,45,4.5
1919,10,46,42.71
1919,11,47,82.69
1919,12,48,51.88
1920,1,49,57.84
1920,2,50,62.69
1920,3,51,62.64
1920,4,52,86.82
1920,5,53,400.3
1920,6,54,322.32
1920,7,55,190.08
1920,8,56,142.66
1920,9,57,58.57
1920,10,58,78.86
1920,11,59,108.27
1920,12,60,91.57
1921,1,61,83.48
1921,2,62,82.45
1921,3,63,95.94
1921,4,64,156.62
1921,5,65,521.33
1921,6,66,556.09
1921,7,67,189.26
1921,8,68,136.41
1921,9,69,72.82
1921,10,70,59.51
1921,11,71,94.26
1921,12,72,100
1922,1,73,61.58
1922,2,74,71.8
1922,3,75,92.91
1922,4,76,126.91
1922,5,77,447.72
1922,6,78,385.24
1922,7,79,193.54
1922,8,80,133.85
1922,9,81,48.94
1922,10,82,35.26
1922,11,83,98.23
1922,12,84,85.87
1923,1,85,86.04
1923,2,86,63.34
1923,3,87,81.06
1923,4,88,119.33
1923,5,89,354.6
1923,6,90,346.71
1923,7,91,202.9
1923,8,92,122.31
1923,9,93,59.42
1923,10,94,94.65
1923,11,95,99.28
1923,12,96,80.62
1924,1,97,70.75
1924,2,98,87.22
1924,3,99,69.47
1924,4,100,90.93
1924,5,101,99.89
1924,6,102,106.12
1924,7,103,80.89
1924,8,104,5.46
1924,9,105,5.51
1924,10,106,44.63
1924,11,107,73.69
1924,12,108,51.86
1925,1,109,59.37
1925,2,110,77.31
1925,3,111,78.74
1925,4,112,253.96
1925,5,113,486.05
1925,6,114,343.56
1925,7,115,291.23
1925,8,116,145.05
1925,9,117,104.07
1925,10,118,126.78
1925,11,119,125.1
1925,12,120,112.2
1926,1,121,78.57
1926,2,122,95.92
1926,3,123,106.51
1926,4,124,199.22
1926,5,125,122.9
1926,6,126,158.97
1926,7,127,124.86
1926,8,128,38.11
1926,9,129,13.09
1926,10,130,35.83
1926,11,131,71.36
1926,12,132,71.29
1927,1,133,62.58
1927,2,134,68.15
1927,3,135,74.86
1927,4,136,104.74
1927,5,137,432.74
1927,6,138,664.6
1927,7,139,320.92
1927,8,140,105.59
1927,9,141,112.62
1927,10,142,114.33
1927,11,143,167.13
1927,12,144,116.38
1928,1,145,123.13
1928,2,146,95.73
1928,3,147,107.89
1928,4,148,155.89
1928,5,149,718.25
1928,6,150,448.56
1928,7,151,134.7
1928,8,152,20.81
1928,9,153,26.61
1928,10,154,80.02
1928,11,155,109.82
1928,12,156,104.88
1929,1,157,72.26
1929,2,158,69.94
1929,3,159,106.88
1929,4,160,141.77
1929,5,161,237.45
1929,6,162,249.12
1929,7,163,52.28
1929,8,164,35.81
1929,9,165,49.08
1929,10,166,68.49
1929,11,167,88.32
1929,12,168,95.66
1930,1,169,53.02
1930,2,170,88.58
1930,3,171,90.66
1930,4,172,168.37
1930,5,173,90.76
1930,6,174,108.91
1930,7,175,58.29
1930,8,176,95.18
1930,9,177,36.62
1930,10,178,95.67
1930,11,179,91.9
1930,12,180,65.91
1931,1,181,54.02
1931,2,182,67.84
1931,3,183,74.71
1931,4,184,83.2
1931,5,185,30.58
1931,6,186,9.19
1931,7,187,6.07
1931,8,188,10.02
1931,9,189,5.29
1931,10,190,6.13
1931,11,191,18.16
1931,12,192,35.72
1932,1,193,29.51
1932,2,194,29.11
1932,3,195,52.74
1932,4,196,98.94
1932,5,197,276.9
1932,6,198,287.53
1932,7,199,84.05
1932,8,200,23.85
1932,9,201,20.06
1932,10,202,25.54
1932,11,203,74.36
1932,12,204,55.84
1933,1,205,69.54
1933,2,206,50.71
1933,3,207,71.68
1933,4,208,105.26
1933,5,209,174.73
1933,6,210,262.96
1933,7,211,37.97
1933,8,212,21.49
1933,9,213,21.4
1933,10,214,8.56
1933,11,215,42.69
1933,12,216,72.82
1934,1,217,68.14
1934,2,218,53.85
1934,3,219,33.74
1934,4,220,9.34
1934,5,221,11.2
1934,6,222,17.09
1934,7,223,7.38
1934,8,224,6.29
1934,9,225,4.16
1934,10,226,4.67
1934,11,227,4.97
1934,12,228,31.85
1935,1,229,27.6
1935,2,230,34.25
1935,3,231,43.62
1935,4,232,79.92
1935,5,233,160.48
1935,6,234,156.03
1935,7,235,41.61
1935,8,236,76.98
1935,9,237,17.43
1935,10,238,10.92
1935,11,239,68.3
1935,12,240,53.29
1936,1,241,50.95
1936,2,242,47.12
1936,3,243,68.01
1936,4,244,166.25
1936,5,245,459.1
1936,6,246,357.82
1936,7,247,34.59
1936,8,248,21.18
1936,9,249,11.93
1936,10,250,20.39
1936,11,251,73.93
1936,12,252,72
1937,1,253,36.88
1937,2,254,53.51
1937,3,255,70.42
1937,4,256,90.78
1937,5,257,222.75
1937,6,258,123.14
1937,7,259,25.57
1937,8,260,17.49
1937,9,261,13.02
1937,10,262,20.1
1937,11,263,51.05
1937,12,264,80.83
1938,1,265,65.07
1938,2,266,71.14
1938,3,267,79.84
1938,4,268,176.76
1938,5,269,340.98
1938,6,270,383.13
1938,7,271,188.48
1938,8,272,19.34
1938,9,273,12.12
1938,10,274,76.48
1938,11,275,107.89
1938,12,276,86.81
1939,1,277,73.64
1939,2,278,59.33
1939,3,279,94.56
1939,4,280,213.67
1939,5,281,167.58
1939,6,282,129.4
1939,7,283,17.32
1939,8,284,20.58
1939,9,285,18.66
1939,10,286,50.29
1939,11,287,57.83
1939,12,288,57.96
1940,1,289,61.05
1940,2,290,73.05
1940,3,291,76.68
1940,4,292,121.63
1940,5,293,73.8
1940,6,294,77.5
1940,7,295,26.71
1940,8,296,45.78
1940,9,297,32.82
1940,10,298,55.45
1940,11,299,71.2
1940,12,300,61.74
1941,1,301,55
1941,2,302,60.54
1941,3,303,72.1
1941,4,304,96.54
1941,5,305,117.43
1941,6,306,76.31
1941,7,307,21.37
1941,8,308,37.2
1941,9,309,20.76
1941,10,310,53.06
1941,11,311,77.64
1941,12,312,85.88
1942,1,313,50.49
1942,2,314,56.21
1942,3,315,67.46
1942,4,316,205.6
1942,5,317,199.95
1942,6,318,155.41
1942,7,319,49.41
1942,8,320,16.17
1942,9,321,24.52
1942,10,322,36.03
1942,11,323,85.91
1942,12,324,82.27
1943,1,325,80.01
1943,2,326,87.72
1943,3,327,107.19
1943,4,328,415
1943,5,329,345.64
1943,6,330,552.56
1943,7,331,304.91
1943,8,332,22.71
1943,9,333,24.79
1943,10,334,95.91
1943,11,335,142.89
1943,12,336,102.55
1944,1,337,67.49
1944,2,338,87.82
1944,3,339,93.28
1944,4,340,113.7
1944,5,341,125.94
1944,6,342,350.05
1944,7,343,59.4
1944,8,344,16.78
1944,9,345,21.83
1944,10,346,30.21
1944,11,347,83.13
1944,12,348,68.61
1945,1,349,66.95
1945,2,350,77.68
1945,3,351,78.26
1945,4,352,91.34
1945,5,353,233.6
1945,6,354,331.06
1945,7,355,155.47
1945,8,356,37.3
1945,9,357,71.29
1945,10,358,104.61
1945,11,359,121.57
1945,12,360,90.47
1946,1,361,91.27
1946,2,362,111.41
1946,3,363,143.96
1946,4,364,379.83
1946,5,365,304.29
1946,6,366,340.34
1946,7,367,43.96
1946,8,368,27.11
1946,9,369,43.72
1946,10,370,101.09
1946,11,371,117.8
1946,12,372,106.31
1947,1,373,57.68
1947,2,374,81.47
1947,3,375,94.2
1947,4,376,141.58
1947,5,377,299.7
1947,6,378,396.72
1947,7,379,56.22
1947,8,380,40.96
1947,9,381,64.02
1947,10,382,81.02
1947,11,383,109.95
1947,12,384,96.24
1948,1,385,79.56
1948,2,386,85.55
1948,3,387,89.69
1948,4,388,160.19
1948,5,389,384.67
1948,6,390,471.11
1948,7,391,70.87
1948,8,392,30.78
1948,9,393,37.36
1948,10,394,74.37
1948,11,395,90.09
1948,12,396,72.95
1949,1,397,51.36
1949,2,398,59.55
1949,3,399,114.8
1949,4,400,204.9
1949,5,401,361.81
1949,6,402,321.62
1949,7,403,43.08
1949,8,404,27.41
1949,9,405,27.07
1949,10,406,101.02
1949,11,407,110.06
1949,12,408,85.82
1950,1,409,64.13
1950,2,410,84.86
1950,3,411,109.82
1950,4,412,247.21
1950,5,413,304.18
1950,6,414,545.48
1950,7,415,287.87
1950,8,416,49.57
1950,9,417,83.45
1950,10,418,126.83
1950,11,419,140.95
1950,12,420,131.66
1951,1,421,113.42
1951,2,422,158.49
1951,3,423,188.06
1951,4,424,302.09
1951,5,425,446.22
1951,6,426,350.36
1951,7,427,127.01
1951,8,428,149.52
1951,9,429,73.59
1951,10,430,128.7
1951,11,431,149.83
1951,12,432,118.64
1952,1,433,117.2
1952,2,434,147.33
1952,3,435,169.33
1952,4,436,334.65
1952,5,437,520.21
1952,6,438,394.2
1952,7,439,82.68
1952,8,440,41.89
1952,9,441,33.4
1952,10,442,43.08
1952,11,443,93.24
1952,12,444,100.38
1953,1,445,122.33
1953,2,446,104.7
1953,3,447,96.05
1953,4,448,109.89
1953,5,449,130.89
1953,6,450,397.62
1953,7,451,72.54
1953,8,452,32.62
1953,9,453,30.87
1953,10,454,54.01
1953,11,455,98.77
1953,12,456,92.19
1954,1,457,88.71
1954,2,458,89.43
1954,3,459,88.53
1954,4,460,135.55
1954,5,461,306.56
1954,6,462,199.58
1954,7,463,135.16
1954,8,464,37.29
1954,9,465,40.94
1954,10,466,74.49
1954,11,467,100.85
1954,12,468,80.82
1955,1,469,69.96
1955,2,470,67.48
1955,3,471,83.11
1955,4,472,114.33
1955,5,473,156.31
1955,6,474,190.14
1955,7,475,60.86
1955,8,476,34.47
1955,9,477,27.3
1955,10,478,48.21
1955,11,479,96.08
1955,12,480,125.64
1956,1,481,118.36
1956,2,482,75.11
1956,3,483,140.68
1956,4,484,356.48
1956,5,485,480.93
1956,6,486,537.74
1956,7,487,95.66
1956,8,488,42.7
1956,9,489,39.68
1956,10,490,79.08
1956,11,491,104.91
1956,12,492,90.01
1957,1,493,63.61
1957,2,494,93.84
1957,3,495,146.59
1957,4,496,178.64
1957,5,497,459.7
1957,6,498,190.23
1957,7,499,41.15
1957,8,500,39.62
1957,9,501,42.31
1957,10,502,65.92
1957,11,503,104.11
1957,12,504,106.12
1958,1,505,93.29
1958,2,506,103.83
1958,3,507,95.62
1958,4,508,123.99
1958,5,509,260.99
1958,6,510,120.32
1958,7,511,31.37
1958,8,512,37.08
1958,9,513,44.69
1958,10,514,31.59
1958,11,515,91.05
1958,12,516,91.32
1959,1,517,84.65
1959,2,518,91.04
1959,3,519,89.45
1959,4,520,78.23
1959,5,521,49.75
1959,6,522,66.23
1959,7,523,68.47
1959,8,524,75.68
1959,9,525,113.36
1959,10,526,82.69
1959,11,527,96.83
1959,12,528,88.01
1960,1,529,64.24
1960,2,530,63.23
1960,3,531,82.94
1960,4,532,92.96
1960,5,533,54.33
1960,6,534,65.43
1960,7,535,52.81
1960,8,536,120.58
1960,9,537,80.29
1960,10,538,41.24
1960,11,539,63.35
1960,12,540,58.25
1961,1,541,59.18
1961,2,542,69.87
1961,3,543,65.41
1961,4,544,72.25
1961,5,545,50.07
1961,6,546,41.92
1961,7,547,46
1961,8,548,48.17
1961,9,549,60.63
1961,10,550,56.36
1961,11,551,66.05
1961,12,552,65.27
1962,1,553,55.17
1962,2,554,107.66
1962,3,555,73.77
1962,4,556,171.5
1962,5,557,296.63
1962,6,558,153.07
1962,7,559,54.24
1962,8,560,46.3
1962,9,561,42.35
1962,10,562,52.74
1962,11,563,76.64
1962,12,564,96.13
1963,1,565,56.63
