totWt,upBeak,loBeak,latWall
91,78,78,74
532,125,120,131
537,101,92,138
605,85,107,135
647,130,101,155
708,139,167,165
724,114,143,147
900,105,108,127
925,129,160,221
1074,159,177,168
1106,107,117,138
1277,112,175,176
1315,112,127,162
1416,128,127,202
1526,137,172,153
1569,149,157,173
1741,148,205,171
1868,140,162,196
1879,157,173,163
2000,151,158,187
2176,128,167,194
2211,156,193,198
2485,146,143,194
3065,167,218,156
3217,243,298,235
3431,192,227,207
3765,160,229,237
4522,126,131,211
5156,136,166,227
5361,181,152,243
