body_mass,bill_length,bill_depth,flipper_length,species
3.75,3.91,1.87,18.1,Adelie
3.8,3.95,1.74,18.6,Adelie
3.25,4.03,1.8,19.5,Adelie
3.45,3.67,1.93,19.3,Adelie
3.65,3.93,2.06,19,Adelie
3.625,3.89,1.78,18.1,Adelie
4.675,3.92,1.96,19.5,Adelie
3.475,3.41,1.81,19.3,Adelie
4.25,4.2,2.02,19,Adelie
3.3,3.78,1.71,18.6,Adelie
3.7,3.78,1.73,18,Adelie
3.2,4.11,1.76,18.2,Adelie
3.8,3.86,2.12,19.1,Adelie
4.4,3.46,2.11,19.8,Adelie
3.7,3.66,1.78,18.5,Adelie
3.45,3.87,1.9,19.5,Adelie
4.5,4.25,2.07,19.7,Adelie
3.325,3.44,1.84,18.4,Adelie
4.2,4.6,2.15,19.4,Adelie
3.4,3.78,1.83,17.4,Adelie
3.6,3.77,1.87,18,Adelie
3.8,3.59,1.92,18.9,Adelie
3.95,3.82,1.81,18.5,Adelie
3.8,3.88,1.72,18,Adelie
3.8,3.53,1.89,18.7,Adelie
3.55,4.06,1.86,18.3,Adelie
3.2,4.05,1.79,18.7,Adelie
3.15,3.79,1.86,17.2,Adelie
3.95,4.05,1.89,18,Adelie
3.25,3.95,1.67,17.8,Adelie
3.9,3.72,1.81,17.8,Adelie
3.3,3.95,1.78,18.8,Adelie
3.9,4.09,1.89,18.4,Adelie
3.325,3.64,1.7,19.5,Adelie
4.15,3.92,2.11,19.6,Adelie
3.95,3.88,2,19,Adelie
3.55,4.22,1.85,18,Adelie
3.3,3.76,1.93,18.1,Adelie
4.65,3.98,1.91,18.4,Adelie
3.15,3.65,1.8,18.2,Adelie
3.9,4.08,1.84,19.5,Adelie
3.1,3.6,1.85,18.6,Adelie
4.4,4.41,1.97,19.6,Adelie
3,3.7,1.69,18.5,Adelie
4.6,3.96,1.88,19,Adelie
3.425,4.11,1.9,18.2,Adelie
2.975,3.75,1.89,17.9,Adelie
3.45,3.6,1.79,19,Adelie
4.15,4.23,2.12,19.1,Adelie
3.5,3.96,1.77,18.6,Adelie
4.3,4.01,1.89,18.8,Adelie
3.45,3.5,1.79,19,Adelie
4.05,4.2,1.95,20,Adelie
2.9,3.45,1.81,18.7,Adelie
3.7,4.14,1.86,19.1,Adelie
3.55,3.9,1.75,18.6,Adelie
3.8,4.06,1.88,19.3,Adelie
2.85,3.65,1.66,18.1,Adelie
3.75,3.76,1.91,19.4,Adelie
3.15,3.57,1.69,18.5,Adelie
4.4,4.13,2.11,19.5,Adelie
3.6,3.76,1.7,18.5,Adelie
4.05,4.11,1.82,19.2,Adelie
2.85,3.64,1.71,18.4,Adelie
3.95,4.16,1.8,19.2,Adelie
3.35,3.55,1.62,19.5,Adelie
4.1,4.11,1.91,18.8,Adelie
3.05,3.59,1.66,19,Adelie
4.45,4.18,1.94,19.8,Adelie
3.6,3.35,1.9,19,Adelie
3.9,3.97,1.84,19,Adelie
3.55,3.96,1.72,19.6,Adelie
4.15,4.58,1.89,19.7,Adelie
3.7,3.55,1.75,19,Adelie
4.25,4.28,1.85,19.5,Adelie
3.7,4.09,1.68,19.1,Adelie
3.9,3.72,1.94,18.4,Adelie
3.55,3.62,1.61,18.7,Adelie
4,4.21,1.91,19.5,Adelie
3.2,3.46,1.72,18.9,Adelie
4.7,4.29,1.76,19.6,Adelie
3.8,3.67,1.88,18.7,Adelie
4.2,3.51,1.94,19.3,Adelie
3.35,3.73,1.78,19.1,Adelie
3.55,4.13,2.03,19.4,Adelie
3.8,3.63,1.95,19,Adelie
3.5,3.69,1.86,18.9,Adelie
3.95,3.83,1.92,18.9,Adelie
3.6,3.89,1.88,19,Adelie
3.55,3.57,1.8,20.2,Adelie
4.3,4.11,1.81,20.5,Adelie
3.4,3.4,1.71,18.5,Adelie
4.45,3.96,1.81,18.6,Adelie
3.3,3.62,1.73,18.7,Adelie
4.3,4.08,1.89,20.8,Adelie
3.7,3.81,1.86,19,Adelie
4.35,4.03,1.85,19.6,Adelie
2.9,3.31,1.61,17.8,Adelie
4.1,4.32,1.85,19.2,Adelie
3.725,3.5,1.79,19.2,Adelie
4.725,4.1,2,20.3,Adelie
3.075,3.77,1.6,18.3,Adelie
4.25,3.78,2,19,Adelie
2.925,3.79,1.86,19.3,Adelie
3.55,3.97,1.89,18.4,Adelie
3.75,3.86,1.72,19.9,Adelie
3.9,3.82,2,19,Adelie
3.175,3.81,1.7,18.1,Adelie
4.775,4.32,1.9,19.7,Adelie
3.825,3.81,1.65,19.8,Adelie
4.6,4.56,2.03,19.1,Adelie
3.2,3.97,1.77,19.3,Adelie
4.275,4.22,1.95,19.7,Adelie
3.9,3.96,2.07,19.1,Adelie
4.075,4.27,1.83,19.6,Adelie
2.9,3.86,1.7,18.8,Adelie
3.775,3.73,2.05,19.9,Adelie
3.35,3.57,1.7,18.9,Adelie
3.325,4.11,1.86,18.9,Adelie
3.15,3.62,1.72,18.7,Adelie
3.5,3.77,1.98,19.8,Adelie
3.45,4.02,1.7,17.6,Adelie
3.875,4.14,1.85,20.2,Adelie
3.05,3.52,1.59,18.6,Adelie
4,4.06,1.9,19.9,Adelie
3.275,3.88,1.76,19.1,Adelie
4.3,4.15,1.83,19.5,Adelie
3.05,3.9,1.71,19.1,Adelie
4,4.41,1.8,21,Adelie
3.325,3.85,1.79,19,Adelie
3.5,4.31,1.92,19.7,Adelie
3.5,3.68,1.85,19.3,Adelie
4.475,3.75,1.85,19.9,Adelie
3.425,3.81,1.76,18.7,Adelie
3.9,4.11,1.75,19,Adelie
3.175,3.56,1.75,19.1,Adelie
3.975,4.02,2.01,20,Adelie
3.4,3.7,1.65,18.5,Adelie
4.25,3.97,1.79,19.3,Adelie
3.4,4.02,1.71,19.3,Adelie
3.475,4.06,1.72,18.7,Adelie
3.05,3.21,1.55,18.8,Adelie
3.725,4.07,1.7,19,Adelie
3,3.73,1.68,19.2,Adelie
3.65,3.9,1.87,18.5,Adelie
4.25,3.92,1.86,19,Adelie
3.475,3.66,1.84,18.4,Adelie
3.45,3.6,1.78,19.5,Adelie
3.75,3.78,1.81,19.3,Adelie
3.7,3.6,1.71,18.7,Adelie
4,4.15,1.85,20.1,Adelie
4.5,4.61,1.32,21.1,Gentoo
5.7,5,1.63,23,Gentoo
4.45,4.87,1.41,21,Gentoo
5.7,5,1.52,21.8,Gentoo
5.4,4.76,1.45,21.5,Gentoo
4.55,4.65,1.35,21,Gentoo
4.8,4.54,1.46,21.1,Gentoo
5.2,4.67,1.53,21.9,Gentoo
4.4,4.33,1.34,20.9,Gentoo
5.15,4.68,1.54,21.5,Gentoo
4.65,4.09,1.37,21.4,Gentoo
5.55,4.9,1.61,21.6,Gentoo
4.65,4.55,1.37,21.4,Gentoo
5.85,4.84,1.46,21.3,Gentoo
4.2,4.58,1.46,21,Gentoo
5.85,4.93,1.57,21.7,Gentoo
4.15,4.2,1.35,21,Gentoo
6.3,4.92,1.52,22.1,Gentoo
4.8,4.62,1.45,20.9,Gentoo
5.35,4.87,1.51,22.2,Gentoo
5.7,5.02,1.43,21.8,Gentoo
5,4.51,1.45,21.5,Gentoo
4.4,4.65,1.45,21.3,Gentoo
5.05,4.63,1.58,21.5,Gentoo
5,4.29,1.31,21.5,Gentoo
5.1,4.61,1.51,21.5,Gentoo
4.1,4.45,1.43,21.6,Gentoo
5.65,4.78,1.5,21.5,Gentoo
4.6,4.82,1.43,21,Gentoo
5.55,5,1.53,22,Gentoo
5.25,4.73,1.53,22.2,Gentoo
4.7,4.28,1.42,20.9,Gentoo
5.05,4.51,1.45,20.7,Gentoo
6.05,5.96,1.7,23,Gentoo
5.15,4.91,1.48,22,Gentoo
5.4,4.84,1.63,22,Gentoo
4.95,4.26,1.37,21.3,Gentoo
5.25,4.44,1.73,21.9,Gentoo
4.35,4.4,1.36,20.8,Gentoo
5.35,4.87,1.57,20.8,Gentoo
3.95,4.27,1.37,20.8,Gentoo
5.7,4.96,1.6,22.5,Gentoo
4.3,4.53,1.37,21,Gentoo
4.75,4.96,1.5,21.6,Gentoo
5.55,5.05,1.59,22.2,Gentoo
4.9,4.36,1.39,21.7,Gentoo
4.2,4.55,1.39,21,Gentoo
5.4,5.05,1.59,22.5,Gentoo
5.1,4.49,1.33,21.3,Gentoo
5.3,4.52,1.58,21.5,Gentoo
4.85,4.66,1.42,21,Gentoo
5.3,4.85,1.41,22,Gentoo
4.4,4.51,1.44,21,Gentoo
5,5.01,1.5,22.5,Gentoo
4.9,4.65,1.44,21.7,Gentoo
5.05,4.5,1.54,22,Gentoo
4.3,4.38,1.39,20.8,Gentoo
5,4.55,1.5,22,Gentoo
4.45,4.32,1.45,20.8,Gentoo
5.55,5.04,1.53,22.4,Gentoo
4.2,4.53,1.38,20.8,Gentoo
5.3,4.62,1.49,22.1,Gentoo
4.4,4.57,1.39,21.4,Gentoo
5.65,5.43,1.57,23.1,Gentoo
4.7,4.58,1.42,21.9,Gentoo
5.7,4.98,1.68,23,Gentoo
4.65,4.62,1.44,21.4,Gentoo
5.8,4.95,1.62,22.9,Gentoo
4.7,4.35,1.42,22,Gentoo
5.55,5.07,1.5,22.3,Gentoo
4.75,4.77,1.5,21.6,Gentoo
5,4.64,1.56,22.1,Gentoo
5.1,4.82,1.56,22.1,Gentoo
5.2,4.65,1.48,21.7,Gentoo
4.7,4.64,1.5,21.6,Gentoo
5.8,4.86,1.6,23,Gentoo
4.6,4.75,1.42,20.9,Gentoo
6,5.11,1.63,22,Gentoo
4.75,4.52,1.38,21.5,Gentoo
5.95,4.52,1.64,22.3,Gentoo
4.625,4.91,1.45,21.2,Gentoo
5.45,5.25,1.56,22.1,Gentoo
4.725,4.74,1.46,21.2,Gentoo
5.35,5,1.59,22.4,Gentoo
4.75,4.49,1.38,21.2,Gentoo
5.6,5.08,1.73,22.8,Gentoo
4.6,4.34,1.44,21.8,Gentoo
