Year,yr_month,ser_month,wage,cpi
2000,1,1,172.6,373.06
2000,2,2,174.8,365.15
2000,3,3,190.7,358.72
2000,4,4,213.6,342.34
2000,5,5,203,336.22
2000,6,6,210.4,326.95
2000,7,7,217.2,313.54
2000,8,8,222,307.89
2000,9,9,227.3,299.47
2000,10,10,235.7,291.42
2000,11,11,249.7,283.38
2000,12,12,291.2,276.55
2001,1,13,273.8,266.71
2001,2,14,259.6,260.85
2001,3,15,281.9,255.64
2001,4,16,302.5,249.03
2001,5,17,291.5,244.78
2001,6,18,298.1,240.94
2001,7,19,312.3,237.83
2001,8,20,313.5,232.63
2001,9,21,312.5,228.2
2001,10,22,321,222.76
2001,11,23,331.4,216.84
2001,12,24,366,212.26
2002,1,25,367.2,207.43
2002,2,26,346.4,205.06
2002,3,27,366.6,204.33
2002,4,28,396.6,200.24
2002,5,29,379.5,196.61
2002,6,30,380.6,194.27
2002,7,31,391.9,193.3
2002,8,32,389.8,191.73
2002,9,33,385.5,190.56
2002,10,34,396.7,187.48
2002,11,35,403.8,182.81
2002,12,36,452.6,180.12
2003,1,37,473.1,177.83
2003,2,38,445.2,176.4
2003,3,39,463.8,174.52
2003,4,40,495.5,172.68
2003,5,41,472.9,171.84
2003,6,42,470.6,170.4
2003,7,43,486.4,168.37
2003,8,44,480.8,167.93
2003,9,45,488.2,164.41
2003,10,46,495.7,161.94
2003,11,47,503.8,159.64
2003,12,48,565.8,157.81
2004,1,49,577.1,156.09
2004,2,50,547.8,155.11
2004,3,51,585.7,154.34
2004,4,52,597,153.45
2004,5,53,580.1,153.01
2004,6,54,582.9,152.11
2004,7,55,588.3,150.2
2004,8,56,585.9,147.39
2004,9,57,594.4,147.99
2004,10,58,607.1,146.2
2004,11,59,624.5,145.26
2004,12,60,687.5,144.43
2005,1,61,723,143.28
2005,2,62,674,142.42
2005,3,63,708,142.01
2005,4,64,743,139.48
2005,5,65,720,139.09
2005,6,66,722,138.68
2005,7,67,730,137.37
2005,8,68,734,137.23
2005,9,69,736,136.45
2005,10,70,742,135.29
2005,11,71,774,133.67
2005,12,72,848,132.94
2006,1,73,826,131.58
2006,2,74,767,131.27
2006,3,75,828,131
2006,4,76,839,130.46
2006,5,77,833,129.68
2006,6,78,835,129.34
2006,7,79,842,129.44
2006,8,80,841,129.44
2006,9,81,860,129.37
2006,10,82,866,129.1
2006,11,83,908,127.7
2006,12,84,1099,126.76
2007,1,85,918,126.51
2007,2,86,941,126.46
2007,3,87,1013,126.37
2007,4,88,1027,125.72
2007,5,89,1012,124.92
2007,6,90,1023,124.74
2007,7,91,1040,124.38
2007,8,92,1030,123.32
2007,9,93,1040,122.01
2007,10,94,1084,120.83
2007,11,95,1121,119.72
2007,12,96,1266,118.95
2008,1,97,1200,117.94
2008,2,98,1134,117.12
2008,3,99,1192,116.34
2008,4,100,1282,115.74
2008,5,101,1248,115.18
2008,6,102,1273,114.86
2008,7,103,1308,114.07
2008,8,104,1277,114.16
2008,9,105,1296,113.71
2008,10,106,1327,112.52
2008,11,107,1361,112.15
2008,12,108,1489,111.9
2009,1,109,1355,110.53
2009,2,110,1358,109.57
2009,3,111,1402,109.02
2009,4,112,1408,108.72
2009,5,113,1356,108.71
2009,6,114,1379,108.5
2009,7,115,1390,108.57
2009,8,116,1348,108.77
2009,9,117,1359,108.36
2009,10,118,1375,107.88
2009,11,119,1366,107.17
2009,12,120,1477,106.83
2010,1,121,1426,105.07
2010,2,122,1411,104.86
2010,3,123,1509,104.63
2010,4,124,1436,104.26
2010,5,125,1428,104.11
2010,6,126,1422,103.95
2010,7,127,1355,101.34
2010,8,128,1339,101.11
2010,9,129,1340,100.55
